                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                      100                    173.3                    86.36                    43.18                        2         -2.6983940601349
                        0                      100                    173.3                    86.36                    43.18          2.0009000301361         -2.6965081691742
                        0                      100                    173.3                    86.36                    43.18          2.0017998218536         -2.6946427822113
                        0                      100                    173.3                    86.36                    43.18          2.0027000904083         -2.6927971839905
                        0                      100                    173.3                    86.36                    43.18          2.0035998821259         -2.6909720897675
                        0                      100                    173.3                    86.36                    43.18           2.004499912262         -2.6891634464264
                        0                      100                    173.3                    86.36                    43.18          2.0053999423981         -2.6873779296875
                        0                      100                    173.3                    86.36                    43.18          2.0062999725342         -2.6856093406677
                        0                      100                    173.3                    86.36                    43.18          2.0072000026703         -2.6838603019714
                        0                      100                    173.3                    86.36                    43.18          2.0080997943878         -2.6821308135986
                        0                      100                    173.3                    86.36                    43.18          2.0089998245239         -2.6804180145264
                        0                      100                    173.3                    86.36                    43.18          2.0099000930786         -2.6787247657776
                        0                      100                    173.3                    86.36                    43.18          2.0107998847961         -2.6770498752594
                        0                      100                    173.3                    86.36                    43.18          2.0116999149323         -2.6753921508789
                        0                      100                    173.3                    86.36                    43.18          2.0125999450684         -2.6737523078918
                        0                      100                    173.3                    86.36                    43.18          2.0134999752045         -2.6721301078796
                        0                      100                    173.3                    86.36                    43.18          2.0144000053406          -2.670524597168
                        0                      100                    173.3                    86.36                    43.18          2.0152997970581         -2.6689364910126
                        0                      100                    173.3                    86.36                    43.18          2.0161998271942         -2.6673655509949
                        0                      100                    173.3                    86.36                    43.18          2.0170998573303         -2.6658139228821
                        0                      100                    173.3                    86.36                    43.18          2.0179998874664         -2.6642763614655
                        0                      100                    173.3                    86.36                    43.18          2.0188999176025         -2.6627562046051
                        0                      100                    173.3                    86.36                    43.18          2.0197999477386         -2.6612522602081
                        0                      100                    173.3                    86.36                    43.18          2.0206999778748         -2.6597640514374
                        0                      100                    173.3                    86.36                    43.18          2.0216000080109         -2.6582930088043
                        0                      100                    173.3                    86.36                    43.18          2.0224997997284         -2.6568369865417
                        0                      100                    173.3                    86.36                    43.18          2.0233998298645         -2.6553955078125
                        0                      100                    173.3                    86.36                    43.18          2.0242998600006         -2.6539709568024
                        0                      100                    173.3                    86.36                    43.18          2.0251998901367         -2.6525619029999
                        0                      100                    173.3                    86.36                    43.18          2.0260999202728         -2.6511659622192
                        0                      100                    173.3                    86.36                    43.18          2.0269999504089         -2.6497886180878
                        0                      100                    173.3                    86.36                    43.18           2.027899980545          -2.648423910141
                        0                      100                    173.3                    86.36                    43.18          2.0288000106812         -2.6470727920532
                        0                      100                    173.3                    86.36                    43.18          2.0296998023987         -2.6457371711731
                        0                      100                    173.3                    86.36                    43.18          2.0305998325348         -2.6444153785706
                        0                      100                    173.3                    86.36                    43.18          2.0314998626709         -2.6431097984314
                        0                      100                    173.3                    86.36                    43.18           2.032399892807         -2.6418170928955
                        0                      100                    173.3                    86.36                    43.18          2.0332999229431         -2.6405372619629
                        0                      100                    173.3                    86.36                    43.18          2.0341999530792         -2.6392726898193
                        0                      100                    173.3                    86.36                    43.18          2.0350999832153         -2.6380214691162
                        0                      100                    173.3                    86.36                    43.18          2.0360000133514         -2.6367828845978
                        0                      100                    173.3                    86.36                    43.18           2.036899805069         -2.6355571746826
                        0                      100                    173.3                    86.36                    43.18          2.0377998352051         -2.6343460083008
                        0                      100                    173.3                    86.36                    43.18          2.0386998653412         -2.6331477165222
                        0                      100                    173.3                    86.36                    43.18          2.0395998954773         -2.6319608688354
                        0                      100                    173.3                    86.36                    43.18          2.0404999256134         -2.6307873725891
                        0                      100                    173.3                    86.36                    43.18          2.0413999557495         -2.6296284198761
                        0                      100                    173.3                    86.36                    43.18          2.0422999858856         -2.6284787654877
                        0                      100                    173.3                    86.36                    43.18          2.0432000160217         -2.6273419857025
                        0                      100                    173.3                    86.36                    43.18          2.0440998077393         -2.6262190341949
                        0                      100                    173.3                    86.36                    43.18          2.0449998378754         -2.6251068115234
                        0                      100                    173.3                    86.36                    43.18          2.0458998680115         -2.6240086555481
                        0                      100                    173.3                    86.36                    43.18          2.0467998981476         -2.6229190826416
                        0                      100                    173.3                    86.36                    43.18          2.0476999282837         -2.6218428611755
                        0                      100                    173.3                    86.36                    43.18          2.0485999584198         -2.6207785606384
                        0                      100                    173.3                    86.36                    43.18          2.0494999885559         -2.6197261810303
                        0                      100                    173.3                    86.36                    43.18           2.050400018692         -2.6186828613281
                        0                      100                    173.3                    86.36                    43.18          2.0512998104095         -2.6176521778107
                        0                      100                    173.3                    86.36                    43.18          2.0521998405457         -2.6166310310364
                        0                      100                    173.3                    86.36                    43.18          2.0530998706818         -2.6156229972839
                        0                      100                    173.3                    86.36                    43.18          2.0539999008179         -2.6146240234375
                        0                      100                    173.3                    86.36                    43.18           2.054899930954         -2.6136362552643
                        0                      100                    173.3                    86.36                    43.18          2.0557999610901           -2.61266040802
                        0                      100                    173.3                    86.36                    43.18          2.0566999912262         -2.6116940975189
                        0                      100                    173.3                    86.36                    43.18          2.0576000213623          -2.610737323761
                        0                      100                    173.3                    86.36                    43.18          2.0584998130798         -2.6097905635834
                        0                      100                    173.3                    86.36                    43.18          2.0593998432159         -2.6088545322418
                        0                      100                    173.3                    86.36                    43.18          2.0602998733521         -2.6079287528992
                        0                      100                    173.3                    86.36                    43.18          2.0611999034882         -2.6070127487183
                        0                      100                    173.3                    86.36                    43.18          2.0620999336243         -2.6061067581177
                        0                      100                    173.3                    86.36                    43.18          2.0629999637604         -2.6052088737488
                        0                      100                    173.3                    86.36                    43.18          2.0638999938965         -2.6043221950531
                        0                      100                    173.3                    86.36                    43.18          2.0648000240326         -2.6034445762634
                        0                      100                    173.3                    86.36                    43.18          2.0656998157501         -2.6025760173798
                        0                      100                    173.3                    86.36                    43.18          2.0665998458862         -2.6017162799835
                        0                      100                    173.3                    86.36                    43.18          2.0674998760223         -2.6008675098419
                        0                      100                    173.3                    86.36                    43.18          2.0683999061584         -2.6000258922577
                        0                      100                    173.3                    86.36                    43.18          2.0692999362946          -2.599193572998
                        0                      100                    173.3                    86.36                    43.18          2.0701999664307         -2.5983719825745
                        0                      100                    173.3                    86.36                    43.18          2.0710999965668         -2.5975573062897
                        0                      100                    173.3                    86.36                    43.18          2.0720000267029         -2.5967516899109
                        0                      100                    173.3                    86.36                    43.18          2.0728998184204         -2.5959560871124
                        0                      100                    173.3                    86.36                    43.18          2.0737998485565         -2.5951671600342
                        0                      100                    173.3                    86.36                    43.18          2.0746998786926          -2.594386100769
                        0                      100                    173.3                    86.36                    43.18          2.0755999088287         -2.5936150550842
                        0                      100                    173.3                    86.36                    43.18          2.0764999389648         -2.5928516387939
                        0                      100                    173.3                    86.36                    43.18           2.077399969101         -2.5920972824097
                        0                      100                    173.3                    86.36                    43.18          2.0782999992371         -2.5913500785828
                        0                      100                    173.3                    86.36                    43.18          2.0792000293732         -2.5906105041504
                        0                      100                    173.3                    86.36                    43.18          2.0800998210907         -2.5898809432983
                        0                      100                    173.3                    86.36                    43.18          2.0809998512268         -2.5891561508179
                        0                      100                    173.3                    86.36                    43.18          2.0818998813629         -2.5884416103363
                        0                      100                    173.3                    86.36                    43.18           2.082799911499          -2.587733745575
                        0                      100                    173.3                    86.36                    43.18          2.0836999416351         -2.5870337486267
                        0                      100                    173.3                    86.36                    43.18          2.0845999717712         -2.5863406658173
                        0                      100                    173.3                    86.36                    43.18          2.0855000019073         -2.5856566429138
                        0                      100                    173.3                    86.36                    43.18          2.0864000320435         -2.5849795341492
                        0                      100                    173.3                    86.36                    43.18           2.087299823761         -2.5843091011047
                        0                      100                    173.3                    86.36                    43.18          2.0881998538971          -2.583643913269
                        0                      100                    173.3                    86.36                    43.18          2.0890998840332         -2.5829892158508
                        0                      100                    173.3                    86.36                    43.18          2.0899999141693         -2.5823411941528
                        0                      100                    173.3                    86.36                    43.18          2.0908999443054         -2.5816991329193
                        0                      100                    173.3                    86.36                    43.18          2.0917999744415         -2.5810649394989
                        0                      100                    173.3                    86.36                    43.18          2.0927000045776         -2.5804364681244
                        0                      100                    173.3                    86.36                    43.18          2.0936000347137         -2.5798165798187
                        0                      100                    173.3                    86.36                    43.18          2.0944998264313         -2.5792031288147
                        0                      100                    173.3                    86.36                    43.18          2.0953998565674         -2.5785944461823
                        0                      100                    173.3                    86.36                    43.18          2.0962998867035         -2.5779938697815
                        0                      100                    173.3                    86.36                    43.18          2.0971999168396         -2.5774004459381
                        0                      100                    173.3                    86.36                    43.18          2.0980999469757         -2.5768132209778
                        0                      100                    173.3                    86.36                    43.18          2.0989999771118         -2.5762331485748
                        0                      100                    173.3                    86.36                    43.18          2.0999000072479         -2.5756576061249
                        0                      100                    173.3                    86.36                    43.18           2.100800037384         -2.5750896930695
                        0                      100                    173.3                    86.36                    43.18          2.1016998291016         -2.5745275020599
                        0                      100                    173.3                    86.36                    43.18          2.1025998592377         -2.5739727020264
                        0                      100                    173.3                    86.36                    43.18          2.1034998893738         -2.5734238624573
                        0                      100                    173.3                    86.36                    43.18          2.1043999195099         -2.5728816986084
                        0                      100                    173.3                    86.36                    43.18           2.105299949646         -2.5723433494568
                        0                      100                    173.3                    86.36                    43.18          2.1061999797821         -2.5718142986298
                        0                      100                    173.3                    86.36                    43.18          2.1071000099182         -2.5712881088257
                        0                      100                    173.3                    86.36                    43.18          2.1080000400543         -2.5707709789276
                        0                      100                    173.3                    86.36                    43.18          2.1088998317719         -2.5702571868896
                        0                      100                    173.3                    86.36                    43.18           2.109799861908         -2.5697505474091
                        0                      100                    173.3                    86.36                    43.18          2.1106998920441         -2.5692496299744
                        0                      100                    173.3                    86.36                    43.18          2.1115999221802         -2.5687549114227
                        0                      100                    173.3                    86.36                    43.18          2.1124999523163         -2.5682654380798
                        0                      100                    173.3                    86.36                    43.18          2.1133999824524         -2.5677826404572
                        0                      100                    173.3                    86.36                    43.18          2.1143000125885         -2.5673027038574
                        0                      100                    173.3                    86.36                    43.18          2.1152000427246         -2.5668323040009
                        0                      100                    173.3                    86.36                    43.18          2.1160998344421         -2.5663647651672
                        0                      100                    173.3                    86.36                    43.18          2.1169998645782         -2.5659034252167
                        0                      100                    173.3                    86.36                    43.18          2.1178998947144         -2.5654470920563
                        0                      100                    173.3                    86.36                    43.18          2.1187999248505         -2.5649971961975
                        0                      100                    173.3                    86.36                    43.18          2.1196999549866         -2.5645527839661
                        0                      100                    173.3                    86.36                    43.18          2.1205999851227         -2.5641143321991
                        0                      100                    173.3                    86.36                    43.18          2.1215000152588         -2.5636796951294
                        0                      100                    173.3                    86.36                    43.18          2.1224000453949         -2.5632500648499
                        0                      100                    173.3                    86.36                    43.18          2.1232998371124         -2.5628271102905
                        0                      100                    173.3                    86.36                    43.18          2.1241998672485         -2.5624094009399
                        0                      100                    173.3                    86.36                    43.18          2.1250998973846         -2.5619969367981
                        0                      100                    173.3                    86.36                    43.18          2.1259999275208         -2.5615887641907
                        0                      100                    173.3                    86.36                    43.18          2.1268999576569         -2.5611863136292
                        0                      100                    173.3                    86.36                    43.18           2.127799987793         -2.5607905387878
                        0                      100                    173.3                    86.36                    43.18          2.1287000179291         -2.5603971481323
                        0                      100                    173.3                    86.36                    43.18          2.1296000480652         -2.5600099563599
                        0                      100                    173.3                    86.36                    43.18          2.1304998397827          -2.559627532959
                        0                      100                    173.3                    86.36                    43.18          2.1313998699188         -2.5592498779297
                        0                      100                    173.3                    86.36                    43.18          2.1322999000549         -2.5588779449463
                        0                      100                    173.3                    86.36                    43.18           2.133199930191         -2.5585112571716
                        0                      100                    173.3                    86.36                    43.18          2.1340999603271         -2.5581483840942
                        0                      100                    173.3                    86.36                    43.18          2.1349999904633         -2.5577917098999
                        0                      100                    173.3                    86.36                    43.18          2.1359000205994         -2.5574395656586
                        0                      100                    173.3                    86.36                    43.18          2.1368000507355         -2.5570905208588
                        0                      100                    173.3                    86.36                    43.18           2.137699842453         -2.5567471981049
                        0                      100                    173.3                    86.36                    43.18          2.1385998725891         -2.5564103126526
                        0                      100                    173.3                    86.36                    43.18          2.1394999027252         -2.5560765266418
                        0                      100                    173.3                    86.36                    43.18          2.1403999328613         -2.5557467937469
                        0                      100                    173.3                    86.36                    43.18          2.1412999629974         -2.5554237365723
                        0                      100                    173.3                    86.36                    43.18          2.1421999931335         -2.5551054477692
                        0                      100                    173.3                    86.36                    43.18          2.1431000232697         -2.5547907352448
                        0                      100                    173.3                    86.36                    43.18          2.1440000534058         -2.5544807910919
                        0                      100                    173.3                    86.36                    43.18          2.1448998451233         -2.5541744232178
                        0                      100                    173.3                    86.36                    43.18          2.1457998752594         -2.5538730621338
                        0                      100                    173.3                    86.36                    43.18          2.1466999053955         -2.5535776615143
                        0                      100                    173.3                    86.36                    43.18           2.147599697113         -2.5532853603363
                        0                      100                    173.3                    86.36                    43.18          2.1484999656677         -2.5529983043671
                        0                      100                    173.3                    86.36                    43.18          2.1493999958038         -2.5527164936066
                        0                      100                    173.3                    86.36                    43.18          2.1502997875214         -2.5524377822876
                        0                      100                    173.3                    86.36                    43.18           2.151200056076         -2.5521657466888
                        0                      100                    173.3                    86.36                    43.18          2.1521000862122         -2.5518953800201
                        0                      100                    173.3                    86.36                    43.18          2.1529998779297         -2.5516300201416
                        0                      100                    173.3                    86.36                    43.18          2.1538999080658         -2.5513696670532
                        0                      100                    173.3                    86.36                    43.18          2.1548001766205         -2.5511133670807
                        0                      100                    173.3                    86.36                    43.18           2.155699968338         -2.5508620738983
                        0                      100                    173.3                    86.36                    43.18          2.1565999984741         -2.5506148338318
                        0                      100                    173.3                    86.36                    43.18          2.1574997901917         -2.5503716468811
                        0                      100                    173.3                    86.36                    43.18          2.1583998203278         -2.5501322746277
                        0                      100                    173.3                    86.36                    43.18          2.1593000888824          -2.549898147583
                        0                      100                    173.3                    86.36                    43.18             2.1601998806         -2.5496692657471
